Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1992,ARG,1,0,0.0,0.0,2.5555555555555554,-1.0,6789.99611136495,8.823205647852276,0.11333749205351658
1994,ARG,0,0,0.0,0.0,2.473684210526316,-1.0,7437.56242327594,8.914298442864169,0.0
1996,ARG,3,0,0.0,0.0,2.35,3.0,7663.21271287469,8.944186589018488,0.33541339619226485
1998,ARG,0,0,0.0,0.0,2.380952380952381,-3.0,8218.99212764682,9.014202868324318,0.0
2000,ARG,4,0,0.0,0.0,2.272727272727273,4.0,7637.01489203628,8.940762084871592,0.44738915564796045
2002,ARG,0,0,0.0,0.0,2.347826086956522,-4.0,2569.69963519124,7.851544297592586,0.0
2004,ARG,6,0,0.0,0.0,2.25,6.0,4242.02099089422,8.352795083460856,0.7183224226199967
2006,ARG,0,0,0.0,0.0,2.4,-6.0,5869.38028970204,8.677504334796174,0.0
2008,ARG,6,0,0.0,0.0,2.3076923076923075,6.0,8944.1102657357,9.098750523777706,0.6594312025942726
2010,ARG,0,0,0.0,0.0,2.4444444444444446,-6.0,10260.1313108254,9.236020916968926,0.0
2012,ARG,4,0,0.0,0.0,2.357142857142857,4.0,12949.717486654,9.468829251187325,0.4224387085128215
2014,ARG,0,0,0.0,0.0,2.413793103448276,-4.0,12233.1444119186,9.411904302087889,0.0
2016,ARG,4,0,0.0,0.0,2.3333333333333335,4.0,12699.9623137756,9.449354305023036,0.42330934695439476
2020,ARG,2,0,0.0,0.0,2.3870967741935485,-2.0,8535.59938004389,9.052000858895653,0.22094562640640322
2024,ARG,3,0,0.0,0.0,2.375,1.0,13969.7836603737,9.54465196611633,0.31431214156891724
1994,ARM,0,0,0.0,0.0,2.393939393939394,0.0,390.879964297655,5.968400516171049,0.0
1996,ARM,2,0,0.0,0.0,0.0,2.0,487.068624404558,6.188405025690378,0.3231850519959915
1998,ARM,0,0,0.0,0.0,1.0,-2.0,590.239947333459,6.380529144619334,0.0
2000,ARM,1,0,0.0,0.0,0.6666666666666666,1.0,593.450581742282,6.385953944773804,0.15659367553353393
2002,ARM,0,0,0.0,0.0,0.75,-1.0,742.651118319819,6.610226376324834,0.0
2004,ARM,0,0,0.0,0.0,0.6,0.0,1130.08791444158,7.0300507090708715,0.0
2006,ARM,0,0,0.0,0.0,0.5,0.0,2041.65267068997,7.621514891549062,0.0
2008,ARM,6,0,0.0,0.0,0.42857142857142855,6.0,3777.66859313767,8.236862324027914,0.728432716727252
2010,ARM,0,0,0.0,0.0,1.125,-6.0,3041.34450723339,8.020054968743029,0.0
2012,ARM,3,0,0.0,0.0,1.0,3.0,3511.56399687426,8.163816800372278,0.3674751740954301
2014,ARM,0,0,0.0,0.0,1.2,-3.0,3852.11800610384,8.256378407470539,0.0
2016,ARM,4,0,0.0,0.0,1.0909090909090908,4.0,3524.42476874707,8.167472515759012,0.48974759232823395
2020,ARM,4,0,0.0,0.0,1.3333333333333333,0.0,4268.68093304583,8.359060143521052,0.47852269649002627
2024,ARM,4,0,0.0,0.0,1.5384615384615385,0.0,8556.21406956719,9.054413089707818,0.441773526386466
1988,ARU,0,0,0.0,0.0,1.7142857142857142,0.0,,,
1992,ARU,0,0,0.0,0.0,0.0,0.0,,,
1996,ARU,0,0,0.0,0.0,0.0,0.0,,,
2000,ARU,0,0,0.0,0.0,0.0,0.0,,,
2004,ARU,0,0,0.0,0.0,0.0,0.0,,,
2008,ARU,0,0,0.0,0.0,0.0,0.0,,,
2012,ARU,0,0,0.0,0.0,0.0,0.0,,,
2016,ARU,0,0,0.0,0.0,0.0,0.0,,,
1988,ASA,0,0,0.0,0.0,0.0,0.0,,,
1992,ASA,0,0,0.0,0.0,0.0,0.0,,,
1994,ASA,0,0,0.0,0.0,0.0,0.0,,,
1996,ASA,0,0,0.0,0.0,0.0,0.0,,,
2000,ASA,0,0,0.0,0.0,0.0,0.0,,,
2004,ASA,0,0,0.0,0.0,0.0,0.0,,,
2008,ASA,0,0,0.0,0.0,0.0,0.0,,,
2012,ASA,0,0,0.0,0.0,0.0,0.0,,,
2016,ASA,0,0,0.0,0.0,0.0,0.0,,,
1896,AUS,3,0,0.0,0.0,0.0,0.0,,,
1900,AUS,6,0,0.0,0.0,3.0,3.0,,,
1904,AUS,4,0,0.0,0.0,4.5,-2.0,,,
1906,AUS,3,0,0.0,0.0,4.333333333333333,-1.0,,,
1920,AUS,3,0,0.0,0.0,4.0,0.0,,,
1924,AUS,7,0,0.0,0.0,3.8,4.0,,,
1928,AUS,4,0,0.0,0.0,4.333333333333333,-3.0,,,
1932,AUS,5,0,0.0,0.0,4.285714285714286,1.0,,,
1936,AUS,1,0,0.0,0.0,4.375,-4.0,,,
1948,AUS,13,0,0.0,0.0,4.0,12.0,,,
1952,AUS,11,0,0.0,0.0,4.9,-2.0,,,
1956,AUS,35,1,19.0,4.80361378486342,5.454545454545454,24.0,,,
1960,AUS,22,0,0.0,0.0,7.916666666666667,-13.0,1813.43109917039,7.502975964712189,2.9321698621280214
1964,AUS,18,0,0.0,0.0,9.0,-4.0,2134.48946124608,7.665982768845036,2.3480355412684935
1968,AUS,17,0,0.0,0.0,9.642857142857142,-1.0,2728.23426114901,7.911409888131699,2.148795251463655
1972,AUS,17,0,0.0,0.0,10.133333333333333,0.0,3955.22430403017,8.282792592634072,2.052447868261024
1976,AUS,5,0,0.0,0.0,10.5625,-12.0,7497.28175413577,8.92229580104787,0.560393884207782
1980,AUS,9,0,0.0,0.0,10.235294117647058,4.0,10223.2886675105,9.232423599422868,0.974825288623304
1984,AUS,24,0,0.0,0.0,10.166666666666666,15.0,12436.2969052038,9.428374645548185,2.545507672558613
1988,AUS,14,0,0.0,0.0,10.894736842105264,-10.0,14303.093047615,9.568231089895182,1.4631753631854816
1992,AUS,27,0,0.0,0.0,11.05,13.0,18650.3675476612,9.833621132527163,2.745682352016872
1994,AUS,1,0,0.0,0.0,11.80952380952381,-26.0,18155.6282000179,9.806735885288791,0.1019707282522121
1996,AUS,41,0,0.0,0.0,11.318181818181818,40.0,22055.838490507,10.001332629975833,4.099453694512215
1998,AUS,1,0,0.0,0.0,12.608695652173912,-40.0,21516.0403147759,9.976553997102844,0.10023501103591445
2000,AUS,58,1,17.0,3.799161965391797,12.125,57.0,21908.9968019784,9.994652644319812,5.803103125646164
2002,AUS,2,0,0.0,0.0,13.96,-56.0,20335.0960191023,9.920103540194072,0.2016107989091486
2004,AUS,50,0,0.0,0.0,13.5,48.0,30886.0500949401,10.338059907711958,4.836497413088227
2006,AUS,2,0,0.0,0.0,14.851851851851851,-48.0,36658.8243476122,10.50940945180179,0.19030565030056082
2008,AUS,46,0,0.0,0.0,14.392857142857142,44.0,49811.2067218988,10.815995272272543,4.252960438871842
2010,AUS,3,0,0.0,0.0,15.482758620689655,-43.0,52313.8939041213,10.86501727259481,0.27611552975318304
2012,AUS,35,0,0.0,0.0,15.066666666666666,32.0,68301.4402512587,11.131686132470646,3.1441777627835297
2014,AUS,3,0,0.0,0.0,15.709677419354838,-32.0,62817.2061751737,11.047984298610725,0.27154274652411003
2016,AUS,29,0,0.0,0.0,15.3125,26.0,50084.4440606385,10.82146574106689,2.679858781971331
2020,AUS,44,0,0.0,0.0,15.727272727272727,15.0,51983.4523666382,10.858680723201157,4.052057622984307
2024,AUS,52,0,0.0,0.0,16.558823529411764,8.0,64603.9856308464,11.076031384939434,4.69482237750849
1896,AUT,5,0,0.0,0.0,17.571428571428573,0.0,,,
1900,AUT,6,0,0.0,0.0,5.0,1.0,,,
1904,AUT,4,0,0.0,0.0,5.5,-2.0,,,
1906,AUT,9,0,0.0,0.0,5.0,5.0,,,
1908,AUT,1,0,0.0,0.0,6.0,-8.0,,,
1912,AUT,4,0,0.0,0.0,5.0,3.0,,,
1924,AUT,7,0,0.0,0.0,4.833333333333333,3.0,,,
1928,AUT,8,0,0.0,0.0,5.142857142857143,1.0,,,
1932,AUT,7,0,0.0,0.0,5.5,-1.0,,,
1936,AUT,21,0,0.0,0.0,5.666666666666667,14.0,,,
1948,AUT,16,0,0.0,0.0,7.2,-5.0,,,
1952,AUT,10,0,0.0,0.0,8.0,-6.0,,,
1956,AUT,13,0,0.0,0.0,8.166666666666666,3.0,,,
1960,AUT,8,0,0.0,0.0,8.538461538461538,-5.0,939.914814681174,6.845789248477964,1.1686015607007845
1964,AUT,12,0,0.0,0.0,8.5,4.0,1275.45715281679,7.15105994455725,1.678072914090635
