Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,729.111965489822,657.982648547398,634.221467312782,636.83281102292,650.491094413218,772.468832586265,697.526602399253,770.10114008645,807.43962838624,907.747893072936,965.866840464665,881.919488130062,668.706017459877,449.727894936295,334.973590276074,404.29481849612,531.115366543271,521.70291489053,429.188126933192,392.725539027496,563.733795571487,533.586202412447,999.065855913758,1133.66331960607,1451.47117872493,2145.88621096327,2930.4442860732,3515.05678986535,4578.15526451517,3645.14846562976,4101.63715566712,5184.15269149912,5702.45306277434,5688.57916215215,5649.68762469139,3641.72893919944,2051.81462126253,2790.71886869768,2860.0936483682,2493.67884440177,1759.35619918264,2303.90812662776,3682.1131513698,2916.13663284275,2665.87444776753
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55603,56540,57336,58138,59020,59970,60900,61837,62809,63819,64528,64729,64615,64342,64058,63839,63762,63862,64038,64274,64513,64665,64785,64934,64882,64591,64276,63946,63623,63325,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77507407.4074074,88040740.7407407,109596296.296296,132451851.851852,149388888.888889,166444444.444444,184866666.666667,212214814.814815,246370370.37037,297562962.962963,346866666.666667,411396296.296296,455174074.074074,478718518.518519,504337037.037037,525133333.333333,565662962.962963,625081481.481481,616051851.851852,679140740.740741,734422222.222222,789788888.888889,835544444.444444,901003703.703704,877774074.074074,898092592.592592,948100000,1026329629.62963,1143896296.2963,1303674074.07407,1487381481.48148,1557640740.74074,1386518518.51852,1298348148.14815,1287359259.25926,1364729629.62963,1325496296.2963,1378707407.40741,1437485185.18519,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2207622874.07407
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1213.67021714646,1374.82027453607,1705.14199048287,2053.10327921275,2310.19699820442,2569.18182363887,2846.99335735773,3270.7810304062,3814.3142290779,4629.45676400154,5424.36847756962,6466.15683473424,7187.90484128028,7590.75442423046,7956.47430919648,8153.73786307269,8624.62016806628,9351.48753768505,9034.47552907143,9756.08717951992,10336.2591617838,10906.8785406961,11342.3349230913,12027.4949768222,11539.1825063308,11658.6949915956,12173.2319860305,13037.8895772257,14368.5708796058,16173.8136329968,18204.5124043068,18786.6743142216,16472.2478528568,15217.3950790922,14911.7275084471,15639.8078114787,15051.5113587425,15532.1062063584,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23542.4526945578
Argentina,ARG,"Population, total",SP.POP.TOTL,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,15865474315.4056,20132220374.9093,18337691145.3688,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499892.1722,56781000101.0848,89049453088.3282,69252328951.6441,76961923741.0701,78676842366.5529,84307486836.724,103979106777.911,116915052107.031,88150891728.1064,105872372613.857,108810885301.253,126890235049.092,76629728760.123,141352654305.163,189719984268.485,228778917308.17,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,778.251706763404,971.338043308372,870.217490905403,852.972425139433,1176.20086190313,1281.83337976859,1275.07843418966,1063.93283833587,1141.95211617341,1329.56181832409,1322.71454216808,1372.50746646061,1409.37097316211,2097.89945010806,2844.96990526761,2026.68435752865,1946.91990388248,2126.48546048047,3282.06304446289,2511.97332905958,2747.5022751674,2764.08641421079,2914.76708504176,3537.7473459832,3915.03492645691,2905.77565536137,3436.07819471053,3477.30131979313,3992.70330179156,2374.57321551641,4315.33403111588,5709.24784079504,6789.99611136495,6931.85596375876,7437.56242327594,7357.6162773788,7663.21271287469,8146.78710021431,8218.99212764682,7705.54288252851,7637.01489203628,7141.47507662826,2569.69963519124,3320.47775133903,4242.02099089422,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737
Armenia,ARM,"Population, total",SP.POP.TOTL,1863705,1927484,1991689,2056023,2120135,2183635,2246159,2307492,2367319,2424030,2475633,2525345,2577079,2630860,2686445,2743660,2818165,2912827,3012807,3078501,3107415,3135349,3163144,3191539,3224547,3260432,3294847,3328520,3355125,3443100,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2256863448.77086,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24185982215.6543,25955275380.0321
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,635.355327502517,572.740260900977,356.350780006933,347.870644720878,390.879964297655,443.924860857976,487.068624404558,505.035887057966,590.239947333459,582.669886150895,593.450581742282,659.588988535629,742.651118319819,882.030167695474,1130.08791444158,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996,8556.21406956719
