Name,Sex,NOC,Country,Sport,Event,Medal,Year
ADAR Yasemin,Female,TUR,Turkey,Wrestling,Women's Freestyle 76kg,Bronze Medal,2020
ZHOU Qian,Female,HKG,China,Wrestling,Women's Freestyle 76kg,Bronze Medal,2020
HASHIMOTO Daiki,Male,JPN,Japan,Artistic Gymnastics,Men's Horizontal Bar,Gold Medal,2020
SRBIC Tin,Male,CRO,Croatia,Artistic Gymnastics,Men's Horizontal Bar,Silver Medal,2020
NAGORNYY Nikita,Male,URS,Russia,Artistic Gymnastics,Men's Horizontal Bar,Bronze Medal,2020
ZOU Jingyuan,Male,HKG,China,Artistic Gymnastics,Men's Parallel Bars,Gold Medal,2020
DAUSER Lukas,Male,SAA,Germany,Artistic Gymnastics,Men's Parallel Bars,Silver Medal,2020
ARICAN Ferhat,Male,TUR,Turkey,Artistic Gymnastics,Men's Parallel Bars,Bronze Medal,2020
GUAN Chenchen,Female,HKG,China,Artistic Gymnastics,Women's Balance Beam,Gold Medal,2020
TANG Xijing,Female,HKG,China,Artistic Gymnastics,Women's Balance Beam,Silver Medal,2020
BILES Simone,Female,USA,USA,Artistic Gymnastics,Women's Balance Beam,Bronze Medal,2020
WARHOLM Karsten,Male,NOR,Norway,Athletics,Men's 400m Hurdles,Gold Medal,2020
BENJAMIN Rai,Male,USA,USA,Athletics,Men's 400m Hurdles,Silver Medal,2020
dos SANTOS Alison,Male,BRA,Brazil,Athletics,Men's 400m Hurdles,Bronze Medal,2020
DUPLANTIS Armand,Male,SWE,Sweden,Athletics,Men's Pole Vault,Gold Medal,2020
NILSEN Christopher,Male,USA,USA,Athletics,Men's Pole Vault,Silver Medal,2020
BRAZ Thiago,Male,BRA,Brazil,Athletics,Men's Pole Vault,Bronze Medal,2020
THOMPSON-HERAH Elaine,Female,JAM,Jamaica,Athletics,Women's 200m,Gold Medal,2020
MBOMA Christine,Female,NAM,Namibia,Athletics,Women's 200m,Silver Medal,2020
THOMAS Gabrielle,Female,USA,USA,Athletics,Women's 200m,Bronze Medal,2020
MU Athing,Female,USA,USA,Athletics,Women's 800m,Gold Medal,2020
HODGKINSON Keely,Female,GBR,UK,Athletics,Women's 800m,Silver Medal,2020
ROGERS Raevyn,Female,USA,USA,Athletics,Women's 800m,Bronze Medal,2020
WLODARCZYK Anita,Female,POL,Poland,Athletics,Women's Hammer Throw,Gold Medal,2020
WANG Zheng,Female,HKG,China,Athletics,Women's Hammer Throw,Silver Medal,2020
KOPRON Malwina,Female,POL,Poland,Athletics,Women's Hammer Throw,Bronze Medal,2020
MIHAMBO Malaika,Female,SAA,Germany,Athletics,Women's Long Jump,Gold Medal,2020
REESE Brittney,Female,USA,USA,Athletics,Women's Long Jump,Silver Medal,2020
BRUME Ese,Female,NGR,Nigeria,Athletics,Women's Long Jump,Bronze Medal,2020
ALVAREZ Lazaro,Male,CUB,Cuba,Boxing,Men's Feather (52-57kg),Bronze Medal,2020
TAKYI Samuel,Male,GHA,Ghana,Boxing,Men's Feather (52-57kg),Bronze Medal,2020
NYIKA David,Male,NZL,New Zealand,Boxing,Men's Heavy (81-91kg),Bronze Medal,2020
TEIXEIRA Abner,Male,BRA,Brazil,Boxing,Men's Heavy (81-91kg),Bronze Medal,2020
IGLESIAS Roniel,Male,CUB,Cuba,Boxing,Men's Welter (63-69kg),Gold Medal,2020
McCORMACK Pat,Male,GBR,UK,Boxing,Men's Welter (63-69kg),Silver Medal,2020
IRIE Sena,Female,JPN,Japan,Boxing,Women's Feather (54-57kg),Gold Medal,2020
PETECIO Nesthy,Female,PHI,Philippines,Boxing,Women's Feather (54-57kg),Silver Medal,2020
JORGE ENRIQUEZ Fernando Dayan,Male,CUB,Cuba,Canoe Sprint,Men's Canoe Double 1000m,Gold Medal,2020
TORRES MADRIGAL Serguey,Male,CUB,Cuba,Canoe Sprint,Men's Canoe Double 1000m,Gold Medal,2020
LIU Hao,Male,HKG,China,Canoe Sprint,Men's Canoe Double 1000m,Silver Medal,2020
ZHENG Pengfei,Male,HKG,China,Canoe Sprint,Men's Canoe Double 1000m,Silver Medal,2020
HECKER Tim,Male,SAA,Germany,Canoe Sprint,Men's Canoe Double 1000m,Bronze Medal,2020
BRENDEL Sebastian,Male,SAA,Germany,Canoe Sprint,Men's Canoe Double 1000m,Bronze Medal,2020
KOPASZ Balint,Male,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,Gold Medal,2020
VARGA Adam,Male,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,Silver Medal,2020
PIMENTA Fernando,Male,POR,Portugal,Canoe Sprint,Men's Kayak Single 1000m,Bronze Medal,2020
CARRINGTON Lisa,Female,NZL,New Zealand,Canoe Sprint,Women's Kayak Double 500m,Gold Medal,2020
REGAL Caitlin,Female,NZL,New Zealand,Canoe Sprint,Women's Kayak Double 500m,Gold Medal,2020
PULAWSKA Anna,Female,POL,Poland,Canoe Sprint,Women's Kayak Double 500m,Silver Medal,2020
NAJA Karolina,Female,POL,Poland,Canoe Sprint,Women's Kayak Double 500m,Silver Medal,2020
KOZAK Danuta,Female,HUN,Hungary,Canoe Sprint,Women's Kayak Double 500m,Bronze Medal,2020
BODONYI Dora,Female,HUN,Hungary,Canoe Sprint,Women's Kayak Double 500m,Bronze Medal,2020
CARRINGTON Lisa,Female,NZL,New Zealand,Canoe Sprint,Women's Kayak Single 200m,Gold Medal,2020
PORTELA Teresa,Female,ESP,Spain,Canoe Sprint,Women's Kayak Single 200m,Silver Medal,2020
PORTELA Teresa,Female,POR,Portugal,Canoe Sprint,Women's Kayak Single 200m,Silver Medal,2020
JORGENSEN Emma Aastrand,Female,DEN,Denmark,Canoe Sprint,Women's Kayak Single 200m,Bronze Medal,2020
van den BERG Roy,Male,NED,Netherlands,Cycling Track,Men's Team Sprint,Gold Medal,2020
HOOGLAND Jeffrey,Male,NED,Netherlands,Cycling Track,Men's Team Sprint,Gold Medal,2020
BUCHLI Matthijs,Male,NED,Netherlands,Cycling Track,Men's Team Sprint,Gold Medal,2020
LAVREYSEN Harrie,Male,NED,Netherlands,Cycling Track,Men's Team Sprint,Gold Medal,2020
CARLIN Jack,Male,GBR,UK,Cycling Track,Men's Team Sprint,Silver Medal,2020
KENNY Jason,Male,GBR,UK,Cycling Track,Men's Team Sprint,Silver Medal,2020
OWENS Ryan,Male,GBR,UK,Cycling Track,Men's Team Sprint,Silver Medal,2020
VIGIER Sebastien,Male,FRA,France,Cycling Track,Men's Team Sprint,Bronze Medal,2020
HELAL Rayan,Male,FRA,France,Cycling Track,Men's Team Sprint,Bronze Medal,2020
GRENGBO Florian,Male,FRA,France,Cycling Track,Men's Team Sprint,Bronze Medal,2020
BRENNAUER Lisa,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
BRENNAUER Lisa,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
BRAUSSE Franziska,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
KROEGER Mieke,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
KLEIN Lisa,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
KLEIN Lisa,Female,SAA,Germany,Cycling Track,Women's Team Pursuit,Gold Medal,2020
ARCHIBALD Katie,Female,GBR,UK,Cycling Track,Women's Team Pursuit,Silver Medal,2020
BARKER Elinor,Female,GBR,UK,Cycling Track,Women's Team Pursuit,Silver Medal,2020
EVANS Neah,Female,GBR,UK,Cycling Track,Women's Team Pursuit,Silver Medal,2020
KENNY Laura,Female,GBR,UK,Cycling Track,Women's Team Pursuit,Silver Medal,2020
KNIGHT Josie,Female,GBR,UK,Cycling Track,Women's Team Pursuit,Silver Medal,2020
WILLIAMS Lily,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
DYGERT Chloe,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
DYGERT Chloe,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
WHITE Emma,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
VALENTE Jennifer,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
JASTRAB Megan,Female,USA,USA,Cycling Track,Women's Team Pursuit,Bronze Medal,2020
XIE Siyi,Male,HKG,China,Diving,Men's 3m Springboard,Gold Medal,2020
WANG Zongyuan,Male,HKG,China,Diving,Men's 3m Springboard,Silver Medal,2020
LAUGHER Jack,Male,GBR,UK,Diving,Men's 3m Springboard,Bronze Medal,2020
SCOTT Giles,Male,GBR,UK,Sailing,Men's One Person Dinghy (Heavyweight) - Finn,Gold Medal,2020
BERECZ Zsombor,Male,HUN,Hungary,Sailing,Men's One Person Dinghy (Heavyweight) - Finn,Silver Medal,2020
CARDONA MENDEZ Joan,Male,ESP,Spain,Sailing,Men's One Person Dinghy (Heavyweight) - Finn,Bronze Medal,2020
BITHELL Stuart,Male,GBR,UK,Sailing,Men's Skiff - 49er,Gold Medal,2020
FLETCHER Dylan,Male,GBR,UK,Sailing,Men's Skiff - 49er,Gold Medal,2020
BURLING Peter,Male,NZL,New Zealand,Sailing,Men's Skiff - 49er,Silver Medal,2020
TUKE Blair,Male,NZL,New Zealand,Sailing,Men's Skiff - 49er,Silver Medal,2020
HEIL Erik,Male,SAA,Germany,Sailing,Men's Skiff - 49er,Bronze Medal,2020
PLOESSEL Thomas,Male,SAA,Germany,Sailing,Men's Skiff - 49er,Bronze Medal,2020
BANTI Caterina,Female,ITA,Italy,Sailing,Mixed Multihull - Nacra 17 Foiling,Gold Medal,2020
TITA Ruggero,Male,ITA,Italy,Sailing,Mixed Multihull - Nacra 17 Foiling,Gold Medal,2020
GIMSON John,Male,GBR,UK,Sailing,Mixed Multihull - Nacra 17 Foiling,Silver Medal,2020
BURNET Anna,Female,GBR,UK,Sailing,Mixed Multihull - Nacra 17 Foiling,Silver Medal,2020
STUHLEMMER Alica,Female,SAA,Germany,Sailing,Mixed Multihull - Nacra 17 Foiling,Bronze Medal,2020
KOHLHOFF Paul,Male,SAA,Germany,Sailing,Mixed Multihull - Nacra 17 Foiling,Bronze Medal,2020
KUNZE Kahena,Female,BRA,Brazil,Sailing,Women's Skiff - 49er FX,Gold Medal,2020
GRAEL Martine,Female,BRA,Brazil,Sailing,Women's Skiff - 49er FX,Gold Medal,2020
BEUCKE Susann,Female,SAA,Germany,Sailing,Women's Skiff - 49er FX,Silver Medal,2020
LUTZ Tina,Female,SAA,Germany,Sailing,Women's Skiff - 49er FX,Silver Medal,2020
BEKKERING Annemiek,Female,NED,Netherlands,Sailing,Women's Skiff - 49er FX,Bronze Medal,2020
DUETZ Annette,Female,NED,Netherlands,Sailing,Women's Skiff - 49er FX,Bronze Medal,2020
DJURAEV Akbar,Male,UZB,Uzbekistan,Weightlifting,Men's 109kg,Gold Medal,2020
MARTIROSYAN Simon,Male,ARM,Armenia,Weightlifting,Men's 109kg,Silver Medal,2020
PLESNIEKS Arturs,Male,LAT,Latvia,Weightlifting,Men's 109kg,Bronze Medal,2020
LORINCZ Tamas,Male,HUN,Hungary,Wrestling,Men's Greco-Roman 77kg,Gold Medal,2020
MAKHMUDOV Akzhol,Male,KGZ,Kyrgyzstan,Wrestling,Men's Greco-Roman 77kg,Silver Medal,2020
HUSEYNOV Rafig,Male,AZE,Azerbaijan,Wrestling,Men's Greco-Roman 77kg,Bronze Medal,2020
YABIKU Shohei,Male,JPN,Japan,Wrestling,Men's Greco-Roman 77kg,Bronze Medal,2020
EVLOEV Musa,Male,URS,Russia,Wrestling,Men's Greco-Roman 97kg,Gold Medal,2020
ALEKSANYAN Artur,Male,ARM,Armenia,Wrestling,Men's Greco-Roman 97kg,Silver Medal,2020
MICHALIK Tadeusz,Male,POL,Poland,Wrestling,Men's Greco-Roman 97kg,Bronze Medal,2020
SARAVI Mohammadhadi,Male,IRI,Iran,Wrestling,Men's Greco-Roman 97kg,Bronze Medal,2020
MENSAH STOCK Tamyra Mariama,Female,USA,USA,Wrestling,Women's Freestyle 68kg,Gold Medal,2020
OBORUDUDU Blessing,Female,NGR,Nigeria,Wrestling,Women's Freestyle 68kg,Silver Medal,2020
CHERKASOVA Alla,Female,UKR,Ukraine,Wrestling,Women's Freestyle 68kg,Bronze Medal,2020
ZHUMANAZAROVA Meerim,Female,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 68kg,Bronze Medal,2020
KOLESNICHENKO Svetlana,Female,URS,Russia,Artistic Swimming,Duet,Gold Medal,2020
ROMASHINA Svetlana,Female,URS,Russia,Artistic Swimming,Duet,Gold Medal,2020
HUANG Xuechen,Female,HKG,China,Artistic Swimming,Duet,Silver Medal,2020
SUN Wenyan,Female,HKG,China,Artistic Swimming,Duet,Silver Medal,2020
SAVCHUK Anastasiya,Female,UKR,Ukraine,Artistic Swimming,Duet,Bronze Medal,2020
FIEDINA Marta,Female,UKR,Ukraine,Artistic Swimming,Duet,Bronze Medal,2020
de GRASSE Andre,Male,NFL,Canada,Athletics,Men's 200m,Gold Medal,2020
BEDNAREK Kenneth,Male,USA,USA,Athletics,Men's 200m,Silver Medal,2020
LYLES Noah,Male,USA,USA,Athletics,Men's 200m,Bronze Medal,2020
KORIR Emmanuel Kipkurui,Male,KEN,Kenya,Athletics,Men's 800m,Gold Medal,2020
ROTICH Ferguson Cheruiyot,Male,KEN,Kenya,Athletics,Men's 800m,Silver Medal,2020
DOBEK Patryk,Male,POL,Poland,Athletics,Men's 800m,Bronze Medal,2020
WARNER Damian,Male,NFL,Canada,Athletics,Men's Decathlon,Gold Medal,2020
MAYER Kevin,Male,FRA,France,Athletics,Men's Decathlon,Silver Medal,2020
MOLONEY Ashley,Male,AUS,Australia,Athletics,Men's Decathlon,Bronze Medal,2020
NOWICKI Wojciech,Male,POL,Poland,Athletics,Men's Hammer Throw,Gold Medal,2020
HENRIKSEN Eivind,Male,NOR,Norway,Athletics,Men's Hammer Throw,Silver Medal,2020
FAJDEK Pawel,Male,POL,Poland,Athletics,Men's Hammer Throw,Bronze Medal,2020
CHEMUTAI Peruth,Female,UGA,Uganda,Athletics,Women's 3000m Steeplechase,Gold Medal,2020
FRERICHS Courtney,Female,USA,USA,Athletics,Women's 3000m Steeplechase,Silver Medal,2020
KIYENG Hyvin,Female,KEN,Kenya,Athletics,Women's 3000m Steeplechase,Bronze Medal,2020
McLAUGHLIN Sydney,Female,USA,USA,Athletics,Women's 400m Hurdles,Gold Medal,2020
MUHAMMAD Dalilah,Female,USA,USA,Athletics,Women's 400m Hurdles,Silver Medal,2020
BOL Femke,Female,NED,Netherlands,Athletics,Women's 400m Hurdles,Bronze Medal,2020
THIAM Nafissatou,Female,BEL,Belgium,Athletics,Women's Heptathlon,Gold Medal,2020
VETTER Anouk,Female,NED,Netherlands,Athletics,Women's Heptathlon,Silver Medal,2020
OOSTERWEGEL Emma,Female,NED,Netherlands,Athletics,Women's Heptathlon,Bronze Medal,2020
LOPEZ Arlen,Male,CUB,Cuba,Boxing,Men's Light Heavy (75-81kg),Gold Medal,2020
WHITTAKER Benjamin,Male,GBR,UK,Boxing,Men's Light Heavy (75-81kg),Silver Medal,2020
KUNKABAYEV Kamshybek,Male,KAZ,Kazakhstan,Boxing,Men's Super Heavy (+91kg),Bronze Medal,2020
CLARKE Frazer,Male,GBR,UK,Boxing,Men's Super Heavy (+91kg),Bronze Medal,2020
HUANG Hsiao-Wen,Female,TPE,Taiwan,Boxing,Women's Fly (48-51kg),Bronze Medal,2020
NAMIKI Tsukimi,Female,JPN,Japan,Boxing,Women's Fly (48-51kg),Bronze Medal,2020
BORGOHAIN Lovlina,Female,IND,India,Boxing,Women's Welter (64-69kg),Bronze Medal,2020
JONES Oshae,Female,USA,USA,Boxing,Women's Welter (64-69kg),Bronze Medal,2020
CONSONNI Simone,Male,ITA,Italy,Cycling Track,Men's Team Pursuit,Gold Medal,2020
GANNA Filippo,Male,ITA,Italy,Cycling Track,Men's Team Pursuit,Gold Medal,2020
GANNA Filippo,Male,ITA,Italy,Cycling Track,Men's Team Pursuit,Gold Medal,2020
MILAN Jonathan,Male,ITA,Italy,Cycling Track,Men's Team Pursuit,Gold Medal,2020
LAMON Francesco,Male,ITA,Italy,Cycling Track,Men's Team Pursuit,Gold Medal,2020
LARSEN Niklas,Male,DEN,Denmark,Cycling Track,Men's Team Pursuit,Silver Medal,2020
MADSEN Frederik,Male,DEN,Denmark,Cycling Track,Men's Team Pursuit,Silver Medal,2020
HANSEN Lasse Norman,Male,DEN,Denmark,Cycling Track,Men's Team Pursuit,Silver Medal,2020
PEDERSEN Rasmus,Male,DEN,Denmark,Cycling Track,Men's Team Pursuit,Silver Medal,2020
O'BRIEN Kelland,Male,AUS,Australia,Cycling Track,Men's Team Pursuit,Bronze Medal,2020
WELSFORD Sam,Male,AUS,Australia,Cycling Track,Men's Team Pursuit,Bronze Medal,2020
PLAPP Lucas,Male,AUS,Australia,Cycling Track,Men's Team Pursuit,Bronze Medal,2020
HOWARD Leigh,Male,AUS,Australia,Cycling Track,Men's Team Pursuit,Bronze Medal,2020
PORTER Alexander,Male,AUS,Australia,Cycling Track,Men's Team Pursuit,Bronze Medal,2020
MAHER Ben,Male,GBR,UK,Equestrian,Jumping Individual,Gold Medal,2020
FREDRICSON Peder,Male,SWE,Sweden,Equestrian,Jumping Individual,Silver Medal,2020
van der VLEUTEN Maikel,Male,NED,Netherlands,Equestrian,Jumping Individual,Bronze Medal,2020
CUNHA Ana Marcela,Female,BRA,Brazil,Marathon Swimming,Women's 10km,Gold Medal,2020
van ROUWENDAAL Sharon,Female,NED,Netherlands,Marathon Swimming,Women's 10km,Silver Medal,2020
van ROUWENDAAL Sharon,Female,NED,Netherlands,Marathon Swimming,Women's 10km,Silver Medal,2020
LEE Kareena,Female,AUS,Australia,Marathon Swimming,Women's 10km,Bronze Medal,2020
RYAN Will,Male,AUS,Australia,Sailing,Men's Two Person Dinghy - 470,Gold Medal,2020
BELCHER Mathew,Male,AUS,Australia,Sailing,Men's Two Person Dinghy - 470,Gold Medal,2020
BERGSTROM Fredrik,Male,SWE,Sweden,Sailing,Men's Two Person Dinghy - 470,Silver Medal,2020
DAHLBERG Anton,Male,SWE,Sweden,Sailing,Men's Two Person Dinghy - 470,Silver Medal,2020
RODRIGUEZ GARCIA-PAZ Nicolas,Male,ESP,Spain,Sailing,Men's Two Person Dinghy - 470,Bronze Medal,2020
XAMMAR Jordi,,ESP,Spain,Sailing,Men's Two Person Dinghy - 470,Bronze Medal,2020
McINTYRE Eilidh,Female,GBR,UK,Sailing,Women's Two Person Dinghy - 470,Gold Medal,2020
MILLS Hannah,Female,GBR,UK,Sailing,Women's Two Person Dinghy - 470,Gold Medal,2020
SKRZYPULEC Agnieszka,Female,POL,Poland,Sailing,Women's Two Person Dinghy - 470,Silver Medal,2020
OGAR Jolanta,Female,POL,Poland,Sailing,Women's Two Person Dinghy - 470,Silver Medal,2020
LECOINTRE Camille,Female,FRA,France,Sailing,Women's Two Person Dinghy - 470,Bronze Medal,2020
RETORNAZ Aloise,Female,FRA,France,Sailing,Women's Two Person Dinghy - 470,Bronze Medal,2020
YOSOZUMI Sakura,Female,JPN,Japan,Skateboarding,Women's Park,Gold Medal,2020
HIRAKI Kokona,Female,JPN,Japan,Skateboarding,Women's Park,Silver Medal,2020
BROWN Sky,Female,GBR,UK,Skateboarding,Women's Park,Bronze Medal,2020
TALAKHADZE Lasha,Male,GEO,Georgia,Weightlifting,Men's +109kg,Gold Medal,2020
DAVOUDI Ali,Male,IRI,Iran,Weightlifting,Men's +109kg,Silver Medal,2020
ASAAD Man,Male,UAR,Syria,Weightlifting,Men's +109kg,Bronze Medal,2020
GERAEI Mohammadreza,Male,IRI,Iran,Wrestling,Men's Greco-Roman 67kg,Gold Medal,2020
NASIBOV Parviz,Male,UKR,Ukraine,Wrestling,Men's Greco-Roman 67kg,Silver Medal,2020
ELSAYED Mohamed Ibrahim Elsayed,Male,EGY,Egypt,Wrestling,Men's Greco-Roman 67kg,Bronze Medal,2020
STAEBLER Frank,Male,SAA,Germany,Wrestling,Men's Greco-Roman 67kg,Bronze Medal,2020
BELENIUK Zhan,Male,UKR,Ukraine,Wrestling,Men's Greco-Roman 87kg,Gold Medal,2020
LORINCZ Viktor,Male,HUN,Hungary,Wrestling,Men's Greco-Roman 87kg,Silver Medal,2020
KUDLA Denis Maksymilian,Male,SAA,Germany,Wrestling,Men's Greco-Roman 87kg,Bronze Medal,2020
DATUNASHVILI Zurabi,Male,YUG,Serbia,Wrestling,Men's Greco-Roman 87kg,Bronze Medal,2020
KAWAI Yukako,Female,JPN,Japan,Wrestling,Women's Freestyle 62kg,Gold Medal,2020
TYNYBEKOVA Aisuluu,Female,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 62kg,Silver Medal,2020
KOLIADENKO Iryna,Female,UKR,Ukraine,Wrestling,Women's Freestyle 62kg,Bronze Medal,2020
YUSEIN Taybe Mustafa,Female,BUL,Bulgaria,Wrestling,Women's Freestyle 62kg,Bronze Medal,2020
PARCHMENT Hansle,Male,JAM,Jamaica,Athletics,Men's 110m Hurdles,Gold Medal,2020
HOLLOWAY Grant,Male,USA,USA,Athletics,Men's 110m Hurdles,Silver Medal,2020
LEVY Ronald,Male,JAM,Jamaica,Athletics,Men's 110m Hurdles,Bronze Medal,2020
STANO Massimo,Male,ITA,Italy,Athletics,Men's 20km Race Walk,Gold Medal,2020
IKEDA Koki,Male,JPN,Japan,Athletics,Men's 20km Race Walk,Silver Medal,2020
YAMANISHI Toshikazu,Male,JPN,Japan,Athletics,Men's 20km Race Walk,Bronze Medal,2020
GARDINER Steven,Male,BAH,Bahamas,Athletics,Men's 400m,Gold Medal,2020
ZAMBRANO Anthony Jose,Male,COL,Colombia,Athletics,Men's 400m,Silver Medal,2020
JAMES Kirani,Male,GRN,Grenada,Athletics,Men's 400m,Bronze Medal,2020
CROUSER Ryan,Male,USA,USA,Athletics,Men's Shot Put,Gold Medal,2020
KOVACS Joe,Male,USA,USA,Athletics,Men's Shot Put,Silver Medal,2020
WALSH Tomas,Male,NZL,New Zealand,Athletics,Men's Shot Put,Bronze Medal,2020
PICHARDO Pedro,Male,POR,Portugal,Athletics,Men's Triple Jump,Gold Medal,2020
ZHU Yaming,Male,HKG,China,Athletics,Men's Triple Jump,Silver Medal,2020
ZANGO Hugues Fabrice,Male,BUR,Burkina Faso,Athletics,Men's Triple Jump,Bronze Medal,2020
NAGEOTTE Katie,Female,USA,USA,Athletics,Women's Pole Vault,Gold Medal,2020
SIDOROVA Anzhelika,Female,URS,Russia,Athletics,Women's Pole Vault,Silver Medal,2020
BRADSHAW Holly,Female,GBR,UK,Athletics,Women's Pole Vault,Bronze Medal,2020
BATYRGAZIEV Albert,Male,URS,Russia,Boxing,Men's Feather (52-57kg),Gold Medal,2020
RAGAN Duke,Male,USA,USA,Boxing,Men's Feather (52-57kg),Silver Medal,2020
BIBOSSINOV Saken,Male,KAZ,Kazakhstan,Boxing,Men's Fly (48-52kg),Bronze Medal,2020
TANAKA Ryomei,Male,JPN,Japan,Boxing,Men's Fly (48-52kg),Bronze Medal,2020
MARCIAL Eumir,Male,PHI,Philippines,Boxing,Men's Middle (69-75kg),Bronze Medal,2020
BAKSHI Gleb,Male,URS,Russia,Boxing,Men's Middle (69-75kg),Bronze Medal,2020
SEESONDEE Sudaporn,Female,THA,Thailand,Boxing,Women's Light (57-60kg),Bronze Medal,2020
POTKONEN Mira Marjut Johanna,Female,FIN,Finland,Boxing,Women's Light (57-60kg),Bronze Medal,2020
van der WESTHUYZEN Jean,Male,AUS,Australia,Canoe Sprint,Men's Kayak Double 1000m,Gold Medal,2020
GREEN Thomas,Male,AUS,Australia,Canoe Sprint,Men's Kayak Double 1000m,Gold Medal,2020
SCHOPF Jacob,Male,SAA,Germany,Canoe Sprint,Men's Kayak Double 1000m,Silver Medal,2020
HOFF Max,Male,SAA,Germany,Canoe Sprint,Men's Kayak Double 1000m,Silver Medal,2020
DOSTAL Josef,Male,TCH,Czech Republic,Canoe Sprint,Men's Kayak Double 1000m,Bronze Medal,2020
SLOUF Radek,Male,TCH,Czech Republic,Canoe Sprint,Men's Kayak Double 1000m,Bronze Medal,2020
TOTKA Sandor,Male,HUN,Hungary,Canoe Sprint,Men's Kayak Single 200m,Gold Medal,2020
RIZZA Manfredi,Male,ITA,Italy,Canoe Sprint,Men's Kayak Single 200m,Silver Medal,2020
HEATH Liam,Male,GBR,UK,Canoe Sprint,Men's Kayak Single 200m,Bronze Medal,2020
HARRISON Nevin,Female,USA,USA,Canoe Sprint,Women's Canoe Single 200m,Gold Medal,2020
VINCENT-LAPOINTE Laurence,Female,NFL,Canada,Canoe Sprint,Women's Canoe Single 200m,Silver Medal,2020
LUZAN Liudmyla,Female,UKR,Ukraine,Canoe Sprint,Women's Canoe Single 200m,Bronze Medal,2020
CARRINGTON Lisa,Female,NZL,New Zealand,Canoe Sprint,Women's Kayak Single 500m,Gold Medal,2020
CSIPES Tamara,Female,HUN,Hungary,Canoe Sprint,Women's Kayak Single 500m,Silver Medal,2020
JORGENSEN Emma Aastrand,Female,DEN,Denmark,Canoe Sprint,Women's Kayak Single 500m,Bronze Medal,2020
WALLS Matthew,Male,GBR,UK,Cycling Track,Men's Omnium,Gold Medal,2020
STEWART Campbell,Male,NZL,New Zealand,Cycling Track,Men's Omnium,Silver Medal,2020
VIVIANI Elia,Male,ITA,Italy,Cycling Track,Men's Omnium,Bronze Medal,2020
BRASPENNINCX Shanne,Female,NED,Netherlands,Cycling Track,Women's Keirin,Gold Medal,2020
ANDREWS Ellesse,Female,NZL,New Zealand,Cycling Track,Women's Keirin,Silver Medal,2020
GENEST Lauriane,Female,NFL,Canada,Cycling Track,Women's Keirin,Bronze Medal,2020
QUAN Hongchan,Female,HKG,China,Diving,Women's 10m Platform,Gold Medal,2020
CHEN Yuxi,Female,HKG,China,Diving,Women's 10m Platform,Silver Medal,2020
WU Melissa,Female,AUS,Australia,Diving,Women's 10m Platform,Bronze Medal,2020
BOCCARD Gauthier,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
de KERPEL Nicolas,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
de SLOOVER Arthur Anne-Marie Thierr,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
HENDRICKX Alexander Robby P,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
LUYPAERT Loick Fanny A,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
van AUBEL Florent,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
VANASCH Vincent,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
BOON Tom Alain,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
BRIELS Thomas,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
CHARLIER Cedric Daniel Andre,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
DENAYER Felix Veronique B.,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
DOCKIER Sebastien,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
GOUGNARD Simon Pierre F,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
KINA Antoine Sylvain T,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
MEURMANS Augustin Jean J,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
WEGNEZ Victor Nicky B,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
van DOREN Arthur,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
DOHMEN John-John Dominique M,Male,BEL,Belgium,Hockey,Men,Gold Medal,2020
CHARTER Andrew Lewis,Male,AUS,Australia,Hockey,Men,Silver Medal,2020
