Name,Sex,NOC,Country,Sport,Event,Medal,Year
CLAESSENS Zoe,Female,SUI,Switzerland,Cycling BMX Racing,Women,Bronze Medal,2024
RINER Teddy,Male,FRA,France,Judo,Men +100 kg,Gold Medal,2024
KIM Minjong,Male,KOR,Korea,Judo,Men +100 kg,Silver Medal,2024
RAKHIMOV Temur,Male,TJK,Tajikistan,Judo,Men +100 kg,Bronze Medal,2024
YUSUPOV Alisher,Male,UZB,Uzbekistan,Judo,Men +100 kg,Bronze Medal,2024
SOUZA Beatriz,Female,BRA,Brazil,Judo,Women +78 kg,Gold Medal,2024
HERSHKO Raz,Female,ISR,Israel,Judo,Women +78 kg,Silver Medal,2024
KIM Hayun,Female,KOR,Korea,Judo,Women +78 kg,Bronze Medal,2024
DICKO Romane,Female,FRA,France,Judo,Women +78 kg,Bronze Medal,2024
LEONE Chiara,Female,SUI,Switzerland,Shooting,50m Rifle 3 Positions Women,Gold Medal,2024
MADDALENA Sagen,Female,USA,United States,Shooting,50m Rifle 3 Positions Women,Silver Medal,2024
ZHANG Qiongyue,Female,CHN,China,Shooting,50m Rifle 3 Positions Women,Bronze Medal,2024
MARCHAND Leon,Male,FRA,France,Swimming,Men's 200m Individual Medley,Gold Medal,2024
SCOTT Duncan,Male,GBR,Great Britain,Swimming,Men's 200m Individual Medley,Silver Medal,2024
WANG Shun,Male,CHN,China,Swimming,Men's 200m Individual Medley,Bronze Medal,2024
McEVOY Cameron,Male,AUS,Australia,Swimming,Men's 50m Freestyle,Gold Medal,2024
PROUD Benjamin,Male,GBR,Great Britain,Swimming,Men's 50m Freestyle,Silver Medal,2024
MANAUDOU Florent,Male,FRA,France,Swimming,Men's 50m Freestyle,Bronze Medal,2024
McKEOWN Kaylee,Female,AUS,Australia,Swimming,Women's 200m Backstroke,Gold Medal,2024
SMITH Regan,Female,USA,United States,Swimming,Women's 200m Backstroke,Silver Medal,2024
MASSE Kylie,Female,CAN,Canada,Swimming,Women's 200m Backstroke,Bronze Medal,2024
SWIATEK Iga,Female,POL,Poland,Tennis,Women's Singles,Bronze Medal,2024
LITVINOVICH Ivan,Male,AIN,AIN,Trampoline Gymnastics,Men,Gold Medal,2024
WANG Zisai,Male,CHN,China,Trampoline Gymnastics,Men,Silver Medal,2024
YAN Langyu,Male,CHN,China,Trampoline Gymnastics,Men,Bronze Medal,2024
PAGE Bryony,Female,GBR,Great Britain,Trampoline Gymnastics,Women,Gold Medal,2024
BARDZILOUSKAYA Viyaleta,Female,AIN,AIN,Trampoline Gymnastics,Women,Silver Medal,2024
METHOT Sophiane,Female,CAN,Canada,Trampoline Gymnastics,Women,Bronze Medal,2024
LIM Sihyeon,Female,KOR,Korea,Archery,Women's Individual,Gold Medal,2024
NAM Suhyeon,Female,KOR,Korea,Archery,Women's Individual,Silver Medal,2024
BARBELIN Lisa,Female,FRA,France,Archery,Women's Individual,Bronze Medal,2024
YULO Carlos Edriel,Male,PHI,Philippines,Artistic Gymnastics,Men's Floor Exercise,Gold Medal,2024
DOLGOPYAT Artem,Male,ISR,Israel,Artistic Gymnastics,Men's Floor Exercise,Silver Medal,2024
JARMAN Jake,Male,GBR,Great Britain,Artistic Gymnastics,Men's Floor Exercise,Bronze Medal,2024
Mc CLENAGHAN Rhys,Male,IRL,Ireland,Artistic Gymnastics,Men's Pommel Horse,Gold Medal,2024
KURBANOV Nariman,Male,KAZ,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse,Silver Medal,2024
NEDOROSCIK Stephen,Male,USA,United States,Artistic Gymnastics,Men's Pommel Horse,Bronze Medal,2024
BILES Simone,Female,USA,United States,Artistic Gymnastics,Women's Vault,Gold Medal,2024
