Name,Sex,NOC,Country,Sport,Event,Medal,Year
LEE Zii Jia,Male,MAS,Malaysia,Badminton,Men's Singles,Bronze Medal,2024
AN Se Young,Female,KOR,Korea,Badminton,Women's Singles,Gold Medal,2024
HE Bing Jiao,Female,CHN,China,Badminton,Women's Singles,Silver Medal,2024
BUTCHER Finn,Male,NZL,New Zealand,Canoe Slalom,Men's Kayak Cross,Gold Medal,2024
CLARKE Joseph,Male,GBR,Great Britain,Canoe Slalom,Men's Kayak Cross,Silver Medal,2024
HEGGE Noah,Male,GER,Germany,Canoe Slalom,Men's Kayak Cross,Bronze Medal,2024
FOX Noemie,Female,AUS,Australia,Canoe Slalom,Women's Kayak Cross,Gold Medal,2024
HUG Angele,Female,FRA,France,Canoe Slalom,Women's Kayak Cross,Silver Medal,2024
WOODS Kimberley,Female,GBR,Great Britain,Canoe Slalom,Women's Kayak Cross,Bronze Medal,2024
LI Yuehong,Male,CHN,China,Shooting,25m Rapid Fire Pistol Men,Gold Medal,2024
CHO Yeongjae,Male,KOR,Korea,Shooting,25m Rapid Fire Pistol Men,Silver Medal,2024
WANG Xinjie,Male,CHN,China,Shooting,25m Rapid Fire Pistol Men,Bronze Medal,2024
VAAST Kauli,Male,FRA,France,Surfing,Men,Gold Medal,2024
ROBINSON Jack,Male,AUS,Australia,Surfing,Men,Silver Medal,2024
MEDINA Gabriel,Male,BRA,Brazil,Surfing,Men,Bronze Medal,2024
MARKS Caroline,Female,USA,United States,Surfing,Women,Gold Medal,2024
WESTON-WEBB Tatiana,Female,BRA,Brazil,Surfing,Women,Silver Medal,2024
DEFAY Johanne,Female,FRA,France,Surfing,Women,Bronze Medal,2024
HOCKER Cole,Male,USA,United States,Athletics,Men's 1500m,Gold Medal,2024
KERR Josh,Male,GBR,Great Britain,Athletics,Men's 1500m,Silver Medal,2024
NUGUSE Yared,Male,USA,United States,Athletics,Men's 1500m,Bronze Medal,2024
TENTOGLOU Miltiadis,Male,GRE,Greece,Athletics,Men's Long Jump,Gold Medal,2024
PINNOCK Wayne,Male,JAM,Jamaica,Athletics,Men's Long Jump,Silver Medal,2024
FURLANI Mattia,Male,ITA,Italy,Athletics,Men's Long Jump,Bronze Medal,2024
THOMAS Gabrielle,Female,USA,United States,Athletics,Women's 200m,Gold Medal,2024
ALFRED Julien,Female,LCA,Saint Lucia,Athletics,Women's 200m,Silver Medal,2024
BROWN Brittany,Female,USA,United States,Athletics,Women's 200m,Bronze Medal,2024
YAVI Winfred,Female,BRN,Bahrain,Athletics,Women's 3000m Steeplechase,Gold Medal,2024
CHEMUTAI Peruth,Female,UGA,Uganda,Athletics,Women's 3000m Steeplechase,Silver Medal,2024
CHEROTICH Faith,Female,KEN,Kenya,Athletics,Women's 3000m Steeplechase,Bronze Medal,2024
ROGERS Camryn,Female,CAN,Canada,Athletics,Women's Hammer Throw,Gold Medal,2024
ECHIKUNWOKE Annette Nneka,Female,USA,United States,Athletics,Women's Hammer Throw,Silver Medal,2024
ZHAO Jie,Female,CHN,China,Athletics,Women's Hammer Throw,Bronze Medal,2024
JONES Omari,Male,USA,United States,Boxing,Men's 71kg,Bronze Medal,2024
RICHARDSON Lewis,Male,GBR,Great Britain,Boxing,Men's 71kg,Bronze Medal,2024
KYZAIBAY Nazym,Female,KAZ,Kazakhstan,Boxing,Women's 50kg,Bronze Medal,2024
VILLEGAS Aira,Female,PHI,Philippines,Boxing,Women's 50kg,Bronze Medal,2024
HARRINGTON Kellie,Female,IRL,Ireland,Boxing,Women's 60kg,Gold Medal,2024
YANG Wenlu,Female,CHN,China,Boxing,Women's 60kg,Silver Medal,2024
SUWANNAPHENG Janjaem,Female,THA,Thailand,Boxing,Women's 66kg,Bronze Medal,2024
CHEN Nien Chin,Female,TPE,Chinese Taipei,Boxing,Women's 66kg,Bronze Medal,2024
QUAN Hongchan,Female,CHN,China,Diving,Women's 10m Platform,Gold Medal,2024
CHEN Yuxi,Female,CHN,China,Diving,Women's 10m Platform,Silver Medal,2024
KIM Mi Rae,Female,PRK,DPR Korea,Diving,Women's 10m Platform,Bronze Medal,2024
KUKUK Christian,Male,GER,Germany,Equestrian,Jumping Individual,Gold Medal,2024
GUERDAT Steve,Male,SUI,Switzerland,Equestrian,Jumping Individual,Silver Medal,2024
van der VLEUTEN Maikel,Male,NED,Netherlands,Equestrian,Jumping Individual,Bronze Medal,2024
TREW Arisa,Female,AUS,Australia,Skateboarding,Women's Park,Gold Medal,2024
HIRAKI Cocona,Female,JPN,Japan,Skateboarding,Women's Park,Silver Medal,2024
BROWN Sky,Female,GBR,Great Britain,Skateboarding,Women's Park,Bronze Medal,2024
LOPEZ NUNEZ Mijain,Male,CUB,Cuba,Wrestling,Men's Greco-Roman 130kg,Gold Medal,2024
ACOSTA FERNANDEZ Yasmani,Male,CHI,Chile,Wrestling,Men's Greco-Roman 130kg,Silver Medal,2024
MIRZAZADEH Amin,Male,IRI,IR Iran,Wrestling,Men's Greco-Roman 130kg,Bronze Medal,2024
MENG Lingzhe,Male,CHN,China,Wrestling,Men's Greco-Roman 130kg,Bronze Medal,2024
FUMITA Kenichiro,Male,JPN,Japan,Wrestling,Men's Greco-Roman 60kg,Gold Medal,2024
CAO Liguo,Male,CHN,China,Wrestling,Men's Greco-Roman 60kg,Silver Medal,2024
SHARSHENBEKOV Zholaman,Male,KGZ,Kyrgyzstan,Wrestling,Men's Greco-Roman 60kg,Bronze Medal,2024
RI Se Ung,Male,PRK,DPR Korea,Wrestling,Men's Greco-Roman 60kg,Bronze Medal,2024
ELOR Amit,Female,USA,United States,Wrestling,Women's Freestyle 68kg,Gold Medal,2024
ZHUMANAZAROVA Meerim,Female,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 68kg,Silver Medal,2024
CAVUSOGLU TOSUN Buse,Female,TUR,Türkiye,Wrestling,Women's Freestyle 68kg,Bronze Medal,2024
OZAKI Nonoka,Female,JPN,Japan,Wrestling,Women's Freestyle 68kg,Bronze Medal,2024
EL BAKKALI Soufiane,Male,MAR,Morocco,Athletics,Men's 3000m Steeplechase,Gold Medal,2024
ROOKS Kenneth,Male,USA,United States,Athletics,Men's 3000m Steeplechase,Silver Medal,2024
KIBIWOT Abraham,Male,KEN,Kenya,Athletics,Men's 3000m Steeplechase,Bronze Medal,2024
HALL Quincy,Male,USA,United States,Athletics,Men's 400m,Gold Medal,2024
HUDSON-SMITH Matthew,Male,GBR,Great Britain,Athletics,Men's 400m,Silver Medal,2024
SAMUKONGA Muzala,Male,ZAM,Zambia,Athletics,Men's 400m,Bronze Medal,2024
STONA Roje,Male,JAM,Jamaica,Athletics,Men's Discus Throw,Gold Medal,2024
ALEKNA Mykolas,Male,LTU,Lithuania,Athletics,Men's Discus Throw,Silver Medal,2024
DENNY Matthew,Male,AUS,Australia,Athletics,Men's Discus Throw,Bronze Medal,2024
KENNEDY Nina,Female,AUS,Australia,Athletics,Women's Pole Vault,Gold Medal,2024
MOON Katie,Female,USA,United States,Athletics,Women's Pole Vault,Silver Medal,2024
NEWMAN Alysha,Female,CAN,Canada,Athletics,Women's Pole Vault,Bronze Medal,2024
TIAFACK Nelvie Raman,Male,GER,Germany,Boxing,Men's +92kg,Bronze Medal,2024
ABOUDOU MOINDZE Djamili-Dini,Male,FRA,France,Boxing,Men's +92kg,Bronze Medal,2024
ALVAREZ BORGES Erislandy,Male,CUB,Cuba,Boxing,Men's 63.5kg,Gold Medal,2024
OUMIHA Sofiane,Male,FRA,France,Boxing,Men's 63.5kg,Silver Medal,2024
KHYZHNIAK Oleksandr,Male,UKR,Ukraine,Boxing,Men's 80kg,Gold Medal,2024
ORALBAY Nurbek,Male,KAZ,Kazakhstan,Boxing,Men's 80kg,Silver Medal,2024
YILDIZ KAHRAMAN Esra,Female,TUR,Türkiye,Boxing,Women's 57kg,Bronze Medal,2024
PETECIO Nesthy,Female,PHI,Philippines,Boxing,Women's 57kg,Bronze Medal,2024
WEARN Matt,Male,AUS,Australia,Sailing,Men's Dinghy,Gold Medal,2024
KONTIDES Pavlos,Male,CYP,Cyprus,Sailing,Men's Dinghy,Silver Medal,2024
PESCHIERA Stefano,Male,PER,Peru,Sailing,Men's Dinghy,Bronze Medal,2024
BOUWMEESTER Marit,Female,NED,Netherlands,Sailing,Women's Dinghy,Gold Medal,2024
RINDOM Anne-Marie,Female,DEN,Denmark,Sailing,Women's Dinghy,Silver Medal,2024
HOEST Line Flem,Female,NOR,Norway,Sailing,Women's Dinghy,Bronze Medal,2024
PALMER Keegan,Male,AUS,Australia,Skateboarding,Men's Park,Gold Medal,2024
SCHAAR Tom,Male,USA,United States,Skateboarding,Men's Park,Silver Medal,2024
AKIO Augusto,Male,BRA,Brazil,Skateboarding,Men's Park,Bronze Medal,2024
MIROSLAW Aleksandra,Female,POL,Poland,Sport Climbing,Women's Speed,Gold Medal,2024
DENG Lijuan,Female,CHN,China,Sport Climbing,Women's Speed,Silver Medal,2024
KALUCKA Aleksandra,Female,POL,Poland,Sport Climbing,Women's Speed,Bronze Medal,2024
PARK Taejoon,Male,KOR,Korea,Taekwondo,Men -58kg,Gold Medal,2024
MAGOMEDOV Gashim,Male,AZE,Azerbaijan,Taekwondo,Men -58kg,Silver Medal,2024
RAVET Cyrian,Male,FRA,France,Taekwondo,Men -58kg,Bronze Medal,2024
JENDOUBI Mohamed Khalil,Male,TUN,Tunisia,Taekwondo,Men -58kg,Bronze Medal,2024
WONGPATTANAKIT Panipak,Female,THA,Thailand,Taekwondo,Women -49kg,Gold Medal,2024
GUO Qing,Female,CHN,China,Taekwondo,Women -49kg,Silver Medal,2024
NEMATZADEH Mobina,Female,IRI,IR Iran,Taekwondo,Women -49kg,Bronze Medal,2024
STOJKOVIC Lena,Female,CRO,Croatia,Taekwondo,Women -49kg,Bronze Medal,2024
LI Fabin,Male,CHN,China,Weightlifting,Men's 61kg,Gold Medal,2024
SILACHAI Theerapong,Male,THA,Thailand,Weightlifting,Men's 61kg,Silver Medal,2024
MORRIS Hampton,Male,USA,United States,Weightlifting,Men's 61kg,Bronze Medal,2024
HOU Zhihui,Female,CHN,China,Weightlifting,Women's 49kg,Gold Medal,2024
CAMBEI Mihaela Valentina,Female,ROU,Romania,Weightlifting,Women's 49kg,Silver Medal,2024
KHAMBAO Surodchana,Female,THA,Thailand,Weightlifting,Women's 49kg,Bronze Medal,2024
KUSAKA Nao,Male,JPN,Japan,Wrestling,Men's Greco-Roman 77kg,Gold Medal,2024
ZHADRAYEV Demeu,Male,KAZ,Kazakhstan,Wrestling,Men's Greco-Roman 77kg,Silver Medal,2024
AMOYAN Malkhas,Male,ARM,Armenia,Wrestling,Men's Greco-Roman 77kg,Bronze Medal,2024
MAKHMUDOV Akzhol,Male,KGZ,Kyrgyzstan,Wrestling,Men's Greco-Roman 77kg,Bronze Medal,2024
SARAVI Mohammadhadi,Male,IRI,IR Iran,Wrestling,Men's Greco-Roman 97kg,Gold Medal,2024
ALEKSANYAN Artur,Male,ARM,Armenia,Wrestling,Men's Greco-Roman 97kg,Silver Medal,2024
ROSILLO KINDELAN Gabriel Alejandro,Male,CUB,Cuba,Wrestling,Men's Greco-Roman 97kg,Bronze Medal,2024
DZHUZUPBEKOV Uzur,Male,KGZ,Kyrgyzstan,Wrestling,Men's Greco-Roman 97kg,Bronze Medal,2024
HILDEBRANDT Sarah Ann,Female,USA,United States,Wrestling,Women's Freestyle 50kg,Gold Medal,2024
GUZMAN LOPEZ Yusneylis,Female,CUB,Cuba,Wrestling,Women's Freestyle 50kg,Silver Medal,2024
SUSAKI Yui,Female,JPN,Japan,Wrestling,Women's Freestyle 50kg,Bronze Medal,2024
FENG Ziqi,Female,CHN,China,Wrestling,Women's Freestyle 50kg,Bronze Medal,2024
HOLLOWAY Grant,Male,USA,United States,Athletics,Men's 110m Hurdles,Gold Medal,2024
ROBERTS Daniel,Male,USA,United States,Athletics,Men's 110m Hurdles,Silver Medal,2024
BROADBELL Rasheed,Male,JAM,Jamaica,Athletics,Men's 110m Hurdles,Bronze Medal,2024
TEBOGO Letsile,Male,BOT,Botswana,Athletics,Men's 200m,Gold Medal,2024
BEDNAREK Kenneth,Male,USA,United States,Athletics,Men's 200m,Silver Medal,2024
LYLES Noah,Male,USA,United States,Athletics,Men's 200m,Bronze Medal,2024
NADEEM Arshad,Male,PAK,Pakistan,Athletics,Men's Javelin Throw,Gold Medal,2024
CHOPRA Neeraj,Male,IND,India,Athletics,Men's Javelin Throw,Silver Medal,2024
PETERS Anderson,Male,GRN,Grenada,Athletics,Men's Javelin Throw,Bronze Medal,2024
McLAUGHLIN-LEVRONE Sydney,Female,USA,United States,Athletics,Women's 400m Hurdles,Gold Medal,2024
COCKRELL Anna,Female,USA,United States,Athletics,Women's 400m Hurdles,Silver Medal,2024
BOL Femke,Female,NED,Netherlands,Athletics,Women's 400m Hurdles,Bronze Medal,2024
DAVIS-WOODHALL Tara,Female,USA,United States,Athletics,Women's Long Jump,Gold Medal,2024
MIHAMBO Malaika,Female,GER,Germany,Athletics,Women's Long Jump,Silver Medal,2024
MOORE Jasmine,Female,USA,United States,Athletics,Women's Long Jump,Bronze Medal,2024
DUSMATOV Hasanboy,Male,UZB,Uzbekistan,Boxing,Men's 51kg,Gold Medal,2024
BENNAMA Billal,Male,FRA,France,Boxing,Men's 51kg,Silver Medal,2024
SENIOR Charlie,Male,AUS,Australia,Boxing,Men's 57kg,Bronze Medal,2024
IBANEZ DIAZ Javier,Male,BUL,Bulgaria,Boxing,Men's 57kg,Bronze Medal,2024
CHANG Yuan,Female,CHN,China,Boxing,Women's 54kg,Gold Medal,2024
AKBAS Hatice,Female,TUR,Türkiye,Boxing,Women's 54kg,Silver Medal,2024
PARKER Caitlin,Female,AUS,Australia,Boxing,Women's 75kg,Bronze Medal,2024
DJANKEU NGAMBA Cindy Winner,Female,EOR,EOR,Boxing,Women's 75kg,Bronze Medal,2024
,,,,Canoe Sprint,Men's Canoe Double 500m,Gold Medal,2024
,,,,Canoe Sprint,Men's Canoe Double 500m,Silver Medal,2024
,,,,Canoe Sprint,Men's Canoe Double 500m,Bronze Medal,2024
THOMAS Benjamin,Male,FRA,France,Cycling Track,Men's Omnium,Gold Medal,2024
LEITAO Iuri,Male,POR,Portugal,Cycling Track,Men's Omnium,Silver Medal,2024
van den BOSSCHE Fabio,Male,BEL,Belgium,Cycling Track,Men's Omnium,Bronze Medal,2024
ANDREWS Ellesse,Female,NZL,New Zealand,Cycling Track,Women's Keirin,Gold Medal,2024
van de WOUW Hetty,Female,NED,Netherlands,Cycling Track,Women's Keirin,Silver Medal,2024
FINUCANE Emma,Female,GBR,Great Britain,Cycling Track,Women's Keirin,Bronze Medal,2024
XIE Siyi,Male,CHN,China,Diving,Men's 3m Springboard,Gold Medal,2024
WANG Zongyuan,Male,CHN,China,Diving,Men's 3m Springboard,Silver Medal,2024
OLVERA IBARRA Osmar,Male,MEX,Mexico,Diving,Men's 3m Springboard,Bronze Medal,2024
van ROUWENDAAL Sharon,Female,NED,Netherlands,Marathon Swimming,Women's 10km,Gold Medal,2024
JOHNSON Moesha,Female,AUS,Australia,Marathon Swimming,Women's 10km,Silver Medal,2024
TADDEUCCI Ginevra,Female,ITA,Italy,Marathon Swimming,Women's 10km,Bronze Medal,2024
ALDRIDGE Eleanor,Female,GBR,Great Britain,Sailing,Women's Kite,Gold Medal,2024
NOLOT Lauriane,Female,FRA,France,Sailing,Women's Kite,Silver Medal,2024
LAMMERTS Annelous,Female,NED,Netherlands,Sailing,Women's Kite,Bronze Medal,2024
LEONARDO Veddriq,Male,INA,Indonesia,Sport Climbing,Men's Speed,Gold Medal,2024
WU Peng,Male,CHN,China,Sport Climbing,Men's Speed,Silver Medal,2024
WATSON Sam,Male,USA,United States,Sport Climbing,Men's Speed,Bronze Medal,2024
RASHITOV Ulugbek,Male,UZB,Uzbekistan,Taekwondo,Men -68kg,Gold Medal,2024
KAREEM Zaid,Male,JOR,Jordan,Taekwondo,Men -68kg,Silver Medal,2024
LIANG Yushuai,Male,CHN,China,Taekwondo,Men -68kg,Bronze Medal,2024
PONTES Edival,Male,BRA,Brazil,Taekwondo,Men -68kg,Bronze Medal,2024
KIM Yujin,Female,KOR,Korea,Taekwondo,Women -57kg,Gold Medal,2024
KIYANICHANDEH Nahid,Female,IRI,IR Iran,Taekwondo,Women -57kg,Silver Medal,2024
PARK Skylar,Female,CAN,Canada,Taekwondo,Women -57kg,Bronze Medal,2024
KIMIA Alizadeh,Female,BUL,Bulgaria,Taekwondo,Women -57kg,Bronze Medal,2024
JUNIANSYAH Rizki,Male,INA,Indonesia,Weightlifting,Men's 73kg,Gold Medal,2024
WICHUMA Weeraphon,Male,THA,Thailand,Weightlifting,Men's 73kg,Silver Medal,2024
ANDREEV Bozhidar Dimitrov,Male,BUL,Bulgaria,Weightlifting,Men's 73kg,Bronze Medal,2024
LUO Shifang,Female,CHN,China,Weightlifting,Women's 59kg,Gold Medal,2024
CHARRON Maude,Female,CAN,Canada,Weightlifting,Women's 59kg,Silver Medal,2024
KUO Hsing-Chun,Female,TPE,Chinese Taipei,Weightlifting,Women's 59kg,Bronze Medal,2024
ESMAEILI LEIVESI Saeid,Male,IRI,IR Iran,Wrestling,Men's Greco-Roman 67kg,Gold Medal,2024
NASIBOV Parviz,Male,UKR,Ukraine,Wrestling,Men's Greco-Roman 67kg,Silver Medal,2024
JAFAROV Hasrat,Male,AZE,Azerbaijan,Wrestling,Men's Greco-Roman 67kg,Bronze Medal,2024
ORTA SANCHEZ Luis Alberto,Male,CUB,Cuba,Wrestling,Men's Greco-Roman 67kg,Bronze Medal,2024
NOVIKOV Semen Sergeevich,Male,BUL,Bulgaria,Wrestling,Men's Greco-Roman 87kg,Gold Medal,2024
MOHMADIPIANI Alireza,Male,IRI,IR Iran,Wrestling,Men's Greco-Roman 87kg,Silver Medal,2024
BELENIUK Zhan,Male,UKR,Ukraine,Wrestling,Men's Greco-Roman 87kg,Bronze Medal,2024
BISULTANOV Turpal Ali,Male,DEN,Denmark,Wrestling,Men's Greco-Roman 87kg,Bronze Medal,2024
FUJINAMI Akari,Female,JPN,Japan,Wrestling,Women's Freestyle 53kg,Gold Medal,2024
YEPEZ GUZMAN Lucia Yamileth,Female,ECU,Ecuador,Wrestling,Women's Freestyle 53kg,Silver Medal,2024
CHOE Hyo Gyong,Female,PRK,DPR Korea,Wrestling,Women's Freestyle 53kg,Bronze Medal,2024
PANG Qianyu,Female,CHN,China,Wrestling,Women's Freestyle 53kg,Bronze Medal,2024
BENJAMIN Rai,Male,USA,United States,Athletics,Men's 400m Hurdles,Gold Medal,2024
WARHOLM Karsten,Male,NOR,Norway,Athletics,Men's 400m Hurdles,Silver Medal,2024
dos SANTOS Alison,Male,BRA,Brazil,Athletics,Men's 400m Hurdles,Bronze Medal,2024
DIAZ FORTUN Jordan Alejandro,Male,ESP,Spain,Athletics,Men's Triple Jump,Gold Medal,2024
PICHARDO Pedro,Male,POR,Portugal,Athletics,Men's Triple Jump,Silver Medal,2024
DIAZ HERNANDEZ Andy,Male,ITA,Italy,Athletics,Men's Triple Jump,Bronze Medal,2024
CHEBET Beatrice,Female,KEN,Kenya,Athletics,"Women's 10,000m",Gold Medal,2024
BATTOCLETTI Nadia,Female,ITA,Italy,Athletics,"Women's 10,000m",Silver Medal,2024
HASSAN Sifan,Female,NED,Netherlands,Athletics,"Women's 10,000m",Bronze Medal,2024
PAULINO Marileidy,Female,DOM,Dominican Republic,Athletics,Women's 400m,Gold Medal,2024
NASER Salwa Eid,Female,BRN,Bahrain,Athletics,Women's 400m,Silver Medal,2024
KACZMAREK Natalia,Female,POL,Poland,Athletics,Women's 400m,Bronze Medal,2024
OGUNLEYE Yemisi,Female,GER,Germany,Athletics,Women's Shot Put,Gold Medal,2024
WESCHE Maddison-Lee,Female,NZL,New Zealand,Athletics,Women's Shot Put,Silver Medal,2024
SONG Jiayuan,Female,CHN,China,Athletics,Women's Shot Put,Bronze Medal,2024
MUYDINKHUJAEV Asadkhuja,Male,UZB,Uzbekistan,Boxing,Men's 71kg,Gold Medal,2024
VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,Boxing,Men's 71kg,Silver Medal,2024
MULLOJONOV Lazizbek,Male,UZB,Uzbekistan,Boxing,Men's 92kg,Gold Medal,2024
ALFONSO DOMINGUEZ Loren Berto,Male,AZE,Azerbaijan,Boxing,Men's 92kg,Silver Medal,2024
WU Yu,Female,CHN,China,Boxing,Women's 50kg,Gold Medal,2024
CAKIROGLU Buse Naz,Female,TUR,Türkiye,Boxing,Women's 50kg,Silver Medal,2024
KHELIF Imane,Female,ALG,Algeria,Boxing,Women's 66kg,Gold Medal,2024
YANG Liu,Female,CHN,China,Boxing,Women's 66kg,Silver Medal,2024
AMI,Female,JPN,Japan,Breaking,B-Girls,Gold Medal,2024
NICKA,Female,LTU,Lithuania,Breaking,B-Girls,Silver Medal,2024
671,Female,CHN,China,Breaking,B-Girls,Bronze Medal,2024
FUKSA Martin,Male,CZE,Czechia,Canoe Sprint,Men's Canoe Single 1000m,Gold Medal,2024
QUEIROZ Isaquias,Male,BRA,Brazil,Canoe Sprint,Men's Canoe Single 1000m,Silver Medal,2024
TARNOVSCHI Serghei,Male,MDA,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,Bronze Medal,2024
,,,,Canoe Sprint,Men's Kayak Double 500m,Gold Medal,2024
,,,,Canoe Sprint,Men's Kayak Double 500m,Silver Medal,2024
,,,,Canoe Sprint,Men's Kayak Double 500m,Bronze Medal,2024
,,,,Canoe Sprint,Women's Canoe Double 500m,Gold Medal,2024
,,,,Canoe Sprint,Women's Canoe Double 500m,Silver Medal,2024
,,,,Canoe Sprint,Women's Canoe Double 500m,Bronze Medal,2024
,,,,Canoe Sprint,Women's Kayak Double 500m,Gold Medal,2024
,,,,Canoe Sprint,Women's Kayak Double 500m,Silver Medal,2024
,,,,Canoe Sprint,Women's Kayak Double 500m,Bronze Medal,2024
,,,,Canoe Sprint,Women's Kayak Double 500m,Bronze Medal,2024
LAVREYSEN Harrie,Male,NED,Netherlands,Cycling Track,Men's Sprint,Gold Medal,2024
RICHARDSON Matthew,Male,AUS,Australia,Cycling Track,Men's Sprint,Silver Medal,2024
CARLIN Jack,Male,GBR,Great Britain,Cycling Track,Men's Sprint,Bronze Medal,2024
CHEN Yiwen,Female,CHN,China,Diving,Women's 3m Springboard,Gold Medal,2024
KEENEY Maddison,Female,AUS,Australia,Diving,Women's 3m Springboard,Silver Medal,2024
CHANG Yani,Female,CHN,China,Diving,Women's 3m Springboard,Bronze Medal,2024
RASOVSZKY Kristof,Male,HUN,Hungary,Marathon Swimming,Men's 10km,Gold Medal,2024
KLEMET Oliver,Male,GER,Germany,Marathon Swimming,Men's 10km,Silver Medal,2024
BETLEHEM David,Male,HUN,Hungary,Marathon Swimming,Men's 10km,Bronze Medal,2024
BONTUS Valentin,Male,AUT,Austria,Sailing,Men's Kite,Gold Medal,2024
VODISEK Toni,Male,SLO,Slovenia,Sailing,Men's Kite,Silver Medal,2024
MAEDER Maximilian,Male,SGP,Singapore,Sailing,Men's Kite,Bronze Medal,2024
ROBERTS Toby,Male,GBR,Great Britain,Sport Climbing,Men's Boulder & Lead,Gold Medal,2024
ANRAKU Sorato,Male,JPN,Japan,Sport Climbing,Men's Boulder & Lead,Silver Medal,2024
SCHUBERT Jakob,Male,AUT,Austria,Sport Climbing,Men's Boulder & Lead,Bronze Medal,2024
KATOUSSI Firas,Male,TUN,Tunisia,Taekwondo,Men -80kg,Gold Medal,2024
BARKHORDARI Mehran,Male,IRI,IR Iran,Taekwondo,Men -80kg,Silver Medal,2024
ALESSIO Simone,Male,ITA,Italy,Taekwondo,Men -80kg,Bronze Medal,2024
HRNIC Edi,Male,DEN,Denmark,Taekwondo,Men -80kg,Bronze Medal,2024
MARTON Viviana,Female,HUN,Hungary,Taekwondo,Women -67kg,Gold Medal,2024
PERISIC Aleksandra,Female,SRB,Serbia,Taekwondo,Women -67kg,Silver Medal,2024
TEACHOUT Kristina,Female,USA,United States,Taekwondo,Women -67kg,Bronze Medal,2024
CHAARI Sarah,Female,BEL,Belgium,Taekwondo,Women -67kg,Bronze Medal,2024
NASAR Karlos May,Male,BUL,Bulgaria,Weightlifting,Men's 89kg,Gold Medal,2024
LOPEZ Yeison,Male,COL,Colombia,Weightlifting,Men's 89kg,Silver Medal,2024
PIZZOLATO Antonino,Male,ITA,Italy,Weightlifting,Men's 89kg,Bronze Medal,2024
REEVES Olivia,Female,USA,United States,Weightlifting,Women's 71kg,Gold Medal,2024
SANCHEZ Mari Leivis,Female,COL,Colombia,Weightlifting,Women's 71kg,Silver Medal,2024
PALACIOS DAJOMES Angie Paola,Female,ECU,Ecuador,Weightlifting,Women's 71kg,Bronze Medal,2024
HIGUCHI Rei,Male,JPN,Japan,Wrestling,Men's Freestyle 57kg,Gold Medal,2024
LEE Spencer Richard,Male,USA,United States,Wrestling,Men's Freestyle 57kg,Silver Medal,2024
AMAN Aman,Male,IND,India,Wrestling,Men's Freestyle 57kg,Bronze Medal,2024
ABDULLAEV Gulomjon,Male,UZB,Uzbekistan,Wrestling,Men's Freestyle 57kg,Bronze Medal,2024
RAMAZANOV Magomed Eldarovitch,Male,BUL,Bulgaria,Wrestling,Men's Freestyle 86kg,Gold Medal,2024
YAZDANICHARATI Hassan,Male,IRI,IR Iran,Wrestling,Men's Freestyle 86kg,Silver Medal,2024
BROOKS Aaron Marquel,Male,USA,United States,Wrestling,Men's Freestyle 86kg,Bronze Medal,2024
KURUGLIEV Dauren,Male,GRE,Greece,Wrestling,Men's Freestyle 86kg,Bronze Medal,2024
SAKURAI Tsugumi,Female,JPN,Japan,Wrestling,Women's Freestyle 57kg,Gold Medal,2024
NICHITA Anastasia,Female,MDA,Republic of Moldova,Wrestling,Women's Freestyle 57kg,Silver Medal,2024
MAROULIS Helen Louise,Female,USA,United States,Wrestling,Women's Freestyle 57kg,Bronze Medal,2024
HONG Kexin,Female,CHN,China,Wrestling,Women's Freestyle 57kg,Bronze Medal,2024
,,,,Artistic Swimming,Duet,Gold Medal,2024
,,,,Artistic Swimming,Duet,Silver Medal,2024
,,,,Artistic Swimming,Duet,Bronze Medal,2024
INGEBRIGTSEN Jakob,Male,NOR,Norway,Athletics,Men's 5000m,Gold Medal,2024
KWEMOI Ronald,Male,KEN,Kenya,Athletics,Men's 5000m,Silver Medal,2024
FISHER Grant,Male,USA,United States,Athletics,Men's 5000m,Bronze Medal,2024
WANYONYI Emmanuel,Male,KEN,Kenya,Athletics,Men's 800m,Gold Medal,2024
AROP Marco,Male,CAN,Canada,Athletics,Men's 800m,Silver Medal,2024
SEDJATI Djamel,Male,ALG,Algeria,Athletics,Men's 800m,Bronze Medal,2024
KERR Hamish,Male,NZL,New Zealand,Athletics,Men's High Jump,Gold Medal,2024
McEWEN Shelby,Male,USA,United States,Athletics,Men's High Jump,Silver Medal,2024
BARSHIM Mutaz Essa,Male,QAT,Qatar,Athletics,Men's High Jump,Bronze Medal,2024
TOLA Tamirat,Male,ETH,Ethiopia,Athletics,Men's Marathon,Gold Medal,2024
ABDI Bashir,Male,BEL,Belgium,Athletics,Men's Marathon,Silver Medal,2024
KIPRUTO Benson,Male,KEN,Kenya,Athletics,Men's Marathon,Bronze Medal,2024
RUSSELL Masai,Female,USA,United States,Athletics,Women's 100m Hurdles,Gold Medal,2024
SAMBA-MAYELA Cyrena,Female,FRA,France,Athletics,Women's 100m Hurdles,Silver Medal,2024
CAMACHO-QUINN Jasmine,Female,PUR,Puerto Rico,Athletics,Women's 100m Hurdles,Bronze Medal,2024
KIPYEGON Faith,Female,KEN,Kenya,Athletics,Women's 1500m,Gold Medal,2024
